Job_ID,Job_Title,Skills_Required,Tech_Stack,Company_Name,Location,Experience_Level,Salary_Range,Job_Type,Industry,Date_Posted,job_status,Apply Here
14,Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","Willis, Palmer and Smith",Pune,Fresher,3 LPA- 6 LPA,Internship,IT,02-10-2023,closed,
15,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Fernandez Group,Pune,5+ years,3 LPA- 6 LPA,Full-time,IT,02-10-2023,closed,
16,Network Administrator,"Networking, Cisco, Linux, Firewalls, VPNs","Networking, Cisco, Linux, Firewalls, VPNs","Wang, Edwards and Johnson",Gurgaon,1-3 years,3 LPA- 6 LPA,Internship,IT,03-10-2023,closed,
17,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Blair-Murray,Pune,Fresher,10 LPA- 15 LPA,Freelance,IT,03-10-2023,closed,
18,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform","Woodard, Davis and Scott",Noida,5+ years,10 LPA- 15 LPA,Contract,IT,04-10-2023,closed,
19,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Bell, Benson and Medina",Pune,5+ years,15 LPA- 25 LPA,Contract,IT,05-10-2023,closed,
20,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing",Martinez and Sons,Hyderabad,5+ years,3 LPA- 6 LPA,Freelance,IT,05-10-2023,closed,
21,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling",Perry Inc,Noida,1-3 years,15 LPA- 25 LPA,Freelance,IT,05-10-2023,closed,
22,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Garrison-Murphy,Pune,Fresher,15 LPA- 25 LPA,Internship,IT,06-10-2023,closed,
23,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Alexander, Owen and Roberts",Hyderabad,3-5 years,6 LPA- 10 LPA,Internship,IT,06-10-2023,closed,
24,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Martin Inc,Pune,5+ years,3 LPA- 6 LPA,Freelance,IT,06-10-2023,closed,
25,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Day PLC,Mumbai,5+ years,15 LPA- 25 LPA,Full-time,IT,06-10-2023,closed,
26,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes","Snyder, Middleton and White",Gurgaon,1-3 years,15 LPA- 25 LPA,Internship,IT,07-10-2023,closed,
27,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling","Price, Martin and Garrison",Noida,5+ years,10 LPA- 15 LPA,Contract,IT,08-10-2023,closed,
28,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing",Potter LLC,Mumbai,1-3 years,15 LPA- 25 LPA,Internship,IT,09-10-2023,closed,
29,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Hanson Inc,Bangalore,Fresher,3 LPA- 6 LPA,Full-time,IT,09-10-2023,closed,
30,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Sheppard Inc,Mumbai,Fresher,3 LPA- 6 LPA,Freelance,IT,10-10-2023,closed,
31,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Simpson-Rice,Pune,Fresher,10 LPA- 15 LPA,Internship,IT,10-10-2023,closed,
32,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Smith PLC,Hyderabad,Fresher,15 LPA- 25 LPA,Full-time,IT,10-10-2023,closed,
33,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes","Thomas, Bryant and Douglas",Gurgaon,3-5 years,15 LPA- 25 LPA,Contract,IT,10-10-2023,closed,
34,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Campbell Inc,Pune,5+ years,10 LPA- 15 LPA,Freelance,IT,10-10-2023,closed,
35,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Hendrix-Delgado,Noida,5+ years,15 LPA- 25 LPA,Freelance,IT,10-10-2023,closed,
36,Mobile App Developer,"Kotlin, Swift, Flutter, Android Studio, iOS Development","Kotlin, Swift, Flutter, Android Studio, iOS Development",Marsh Group,Remote,Fresher,3 LPA- 6 LPA,Freelance,IT,11-10-2023,closed,
37,IT Support Specialist,"Windows, Linux, Troubleshooting, Networking, Hardware","Windows, Linux, Troubleshooting, Networking, Hardware","Mcintosh, Carter and Buck",Noida,Fresher,15 LPA- 25 LPA,Freelance,IT,12-10-2023,closed,
38,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Kirby-Stewart,Delhi,Fresher,15 LPA- 25 LPA,Full-time,IT,12-10-2023,closed,
39,IT Support Specialist,"Windows, Linux, Troubleshooting, Networking, Hardware","Windows, Linux, Troubleshooting, Networking, Hardware",Green Inc,Mumbai,1-3 years,10 LPA- 15 LPA,Full-time,IT,12-10-2023,closed,
40,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Ortiz-Shepherd,Remote,3-5 years,15 LPA- 25 LPA,Contract,IT,12-10-2023,closed,
41,Mobile App Developer,"Kotlin, Swift, Flutter, Android Studio, iOS Development","Kotlin, Swift, Flutter, Android Studio, iOS Development",Brooks Ltd,Chennai,1-3 years,15 LPA- 25 LPA,Freelance,IT,13-10-2023,closed,
42,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Padilla, Gallegos and Hahn",Hyderabad,Fresher,10 LPA- 15 LPA,Full-time,IT,14-10-2023,closed,
43,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Craig, Solis and Haney",Noida,3-5 years,3 LPA- 6 LPA,Full-time,IT,14-10-2023,closed,
44,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Brady-Cruz,Gurgaon,Fresher,10 LPA- 15 LPA,Freelance,IT,14-10-2023,closed,
45,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Mack-Flores,Remote,1-3 years,10 LPA- 15 LPA,Internship,IT,14-10-2023,closed,
46,Cybersecurity Analyst,"Linux, Firewalls, SIEM, Wireshark, Penetration Testing","Linux, Firewalls, SIEM, Wireshark, Penetration Testing",Kelley-Davis,Noida,5+ years,3 LPA- 6 LPA,Internship,IT,14-10-2023,closed,
47,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Thomas-Dean,Kolkata,Fresher,10 LPA- 15 LPA,Freelance,IT,15-10-2023,closed,
48,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes","Smith, Miles and Waters",Gurgaon,Fresher,15 LPA- 25 LPA,Freelance,IT,15-10-2023,closed,
49,Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","JavaScript, Node.js, React.js, MongoDB, Express.js, Docker",Hughes Group,Pune,3-5 years,6 LPA- 10 LPA,Full-time,IT,15-10-2023,closed,
50,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Gonzales, Love and Brown",Bangalore,5+ years,15 LPA- 25 LPA,Internship,IT,16-10-2023,closed,
51,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Cortez, Scott and Davenport",Chennai,5+ years,3 LPA- 6 LPA,Full-time,IT,17-10-2023,closed,
52,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Winters-Miller,Mumbai,Fresher,3 LPA- 6 LPA,Freelance,IT,17-10-2023,closed,
53,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Goodwin LLC,Pune,Fresher,6 LPA- 10 LPA,Full-time,IT,17-10-2023,closed,
54,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Bell, Martinez and Chandler",Pune,3-5 years,6 LPA- 10 LPA,Full-time,IT,18-10-2023,closed,
55,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Stone, Austin and Russell",Gurgaon,5+ years,6 LPA- 10 LPA,Full-time,IT,19-10-2023,closed,
56,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Shelton, Obrien and Lee",Gurgaon,Fresher,3 LPA- 6 LPA,Freelance,IT,21-10-2023,closed,
57,IT Support Specialist,"Windows, Linux, Troubleshooting, Networking, Hardware","Windows, Linux, Troubleshooting, Networking, Hardware",Patterson-Johnson,Hyderabad,1-3 years,15 LPA- 25 LPA,Freelance,IT,21-10-2023,closed,
58,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Hester-Henderson,Bangalore,1-3 years,10 LPA- 15 LPA,Internship,IT,21-10-2023,closed,
59,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Martin, Walker and Hernandez",Hyderabad,3-5 years,3 LPA- 6 LPA,Internship,IT,22-10-2023,closed,
60,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Johnson-Johnson,Delhi,1-3 years,15 LPA- 25 LPA,Internship,IT,23-10-2023,closed,
61,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Spencer-Yu,Mumbai,Fresher,6 LPA- 10 LPA,Contract,IT,23-10-2023,closed,
62,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Carey-Powers,Bangalore,5+ years,10 LPA- 15 LPA,Contract,IT,24-10-2023,closed,
63,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Barnett-Nielsen,Gurgaon,3-5 years,6 LPA- 10 LPA,Freelance,IT,24-10-2023,closed,
64,Mobile App Developer,"Kotlin, Swift, Flutter, Android Studio, iOS Development","Kotlin, Swift, Flutter, Android Studio, iOS Development",Marks Inc,Delhi,3-5 years,10 LPA- 15 LPA,Full-time,IT,24-10-2023,closed,
65,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Gonzalez Ltd,Kolkata,1-3 years,10 LPA- 15 LPA,Internship,IT,25-10-2023,closed,
66,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform",Johnson-Holloway,Kolkata,3-5 years,10 LPA- 15 LPA,Full-time,IT,25-10-2023,closed,
67,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Jimenez, Walker and Martinez",Mumbai,5+ years,10 LPA- 15 LPA,Internship,IT,27-10-2023,closed,
68,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Miller, Yates and Mcclure",Kolkata,Fresher,10 LPA- 15 LPA,Full-time,IT,28-10-2023,closed,
69,QA Engineer,"Selenium, JUnit, Postman, Manual Testing, Automation Testing","Selenium, JUnit, Postman, Manual Testing, Automation Testing",Graham PLC,Chennai,Fresher,3 LPA- 6 LPA,Full-time,IT,28-10-2023,closed,
70,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Fisher-Walters,Noida,1-3 years,15 LPA- 25 LPA,Freelance,IT,28-10-2023,closed,
71,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Wyatt, Rogers and Watkins",Pune,1-3 years,10 LPA- 15 LPA,Freelance,IT,28-10-2023,closed,
72,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling","Fisher, Hanson and Schroeder",Kolkata,3-5 years,3 LPA- 6 LPA,Internship,IT,29-10-2023,closed,
73,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Powers and Sons,Hyderabad,5+ years,3 LPA- 6 LPA,Internship,IT,29-10-2023,closed,
74,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Willis, Palmer and Taylor",Kolkata,5+ years,3 LPA- 6 LPA,Internship,IT,29-10-2023,closed,
75,Database Administrator,"MySQL, PostgreSQL, MongoDB, Oracle, SQL","MySQL, PostgreSQL, MongoDB, Oracle, SQL","Webb, Vazquez and Cervantes",Pune,5+ years,3 LPA- 6 LPA,Contract,IT,30-10-2023,closed,
76,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Zimmerman, Wagner and Jones",Delhi,5+ years,15 LPA- 25 LPA,Contract,IT,31-10-2023,closed,
77,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Adams-Silva,Chennai,Fresher,10 LPA- 15 LPA,Full-time,IT,02-11-2023,closed,
78,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Obrien LLC,Noida,Fresher,6 LPA- 10 LPA,Internship,IT,02-11-2023,closed,
79,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Larson, Garrett and Atkinson",Gurgaon,Fresher,3 LPA- 6 LPA,Freelance,IT,03-11-2023,closed,
80,Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","Martinez, Cameron and Ward",Mumbai,Fresher,10 LPA- 15 LPA,Contract,IT,04-11-2023,closed,
81,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling",Hernandez-Becker,Noida,5+ years,10 LPA- 15 LPA,Internship,IT,05-11-2023,closed,
82,Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","Thompson, Becker and Morgan",Pune,3-5 years,3 LPA- 6 LPA,Internship,IT,07-11-2023,closed,
83,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Stewart Group,Bangalore,5+ years,10 LPA- 15 LPA,Full-time,IT,07-11-2023,closed,
84,Database Administrator,"MySQL, PostgreSQL, MongoDB, Oracle, SQL","MySQL, PostgreSQL, MongoDB, Oracle, SQL","Mckenzie, Carter and Jones",Mumbai,Fresher,6 LPA- 10 LPA,Freelance,IT,09-11-2023,closed,
85,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Webb, Alexander and Acevedo",Delhi,5+ years,10 LPA- 15 LPA,Internship,IT,09-11-2023,closed,
86,Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform","AWS, Azure, GCP, Docker, Kubernetes, Terraform","Dickerson, Johnston and Irwin",Hyderabad,Fresher,6 LPA- 10 LPA,Contract,IT,09-11-2023,closed,
87,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling",Pratt LLC,Mumbai,Fresher,10 LPA- 15 LPA,Internship,IT,10-11-2023,closed,
88,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling",Brooks Group,Remote,3-5 years,6 LPA- 10 LPA,Freelance,IT,12-11-2023,closed,
89,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes","Parsons, Turner and Sanchez",Pune,1-3 years,3 LPA- 6 LPA,Internship,IT,12-11-2023,closed,
90,QA Engineer,"Selenium, JUnit, Postman, Manual Testing, Automation Testing","Selenium, JUnit, Postman, Manual Testing, Automation Testing",Gates LLC,Kolkata,1-3 years,6 LPA- 10 LPA,Freelance,IT,12-11-2023,closed,
91,IT Support Specialist,"Windows, Linux, Troubleshooting, Networking, Hardware","Windows, Linux, Troubleshooting, Networking, Hardware",Jones-Smith,Delhi,1-3 years,10 LPA- 15 LPA,Internship,IT,12-11-2023,closed,
92,Data Scientist,"Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Python, R, SQL, Pandas, NumPy, TensorFlow, Machine Learning","Ford, Stevens and Green",Kolkata,5+ years,3 LPA- 6 LPA,Full-time,IT,14-11-2023,closed,
93,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Vasquez-Reed,Mumbai,3-5 years,3 LPA- 6 LPA,Full-time,IT,15-11-2023,closed,
94,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Wilkins Group,Gurgaon,1-3 years,15 LPA- 25 LPA,Freelance,IT,15-11-2023,closed,
95,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Hebert-Smith,Delhi,1-3 years,6 LPA- 10 LPA,Internship,IT,16-11-2023,closed,
96,Database Administrator,"MySQL, PostgreSQL, MongoDB, Oracle, SQL","MySQL, PostgreSQL, MongoDB, Oracle, SQL",Warner Group,Chennai,3-5 years,6 LPA- 10 LPA,Contract,IT,16-11-2023,closed,
97,DevOps Engineer,"Linux, Jenkins, Docker, Kubernetes, AWS, Ansible","Linux, Jenkins, Docker, Kubernetes, AWS, Ansible",Dunn-Holmes,Remote,1-3 years,6 LPA- 10 LPA,Full-time,IT,17-11-2023,closed,
98,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Taylor, Jacobs and Flynn",Gurgaon,3-5 years,15 LPA- 25 LPA,Contract,IT,17-11-2023,closed,
99,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","French, Allen and Sexton",Pune,3-5 years,3 LPA- 6 LPA,Freelance,IT,17-11-2023,closed,
100,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes","Brown, Martin and Valdez",Hyderabad,5+ years,3 LPA- 6 LPA,Internship,IT,18-11-2023,closed,
101,QA Engineer,"Selenium, JUnit, Postman, Manual Testing, Automation Testing","Selenium, JUnit, Postman, Manual Testing, Automation Testing","Willis, Walter and Rose",Kolkata,3-5 years,15 LPA- 25 LPA,Freelance,IT,18-11-2023,closed,
102,Software Engineer,"Python, Java, C++, Git, Docker, Kubernetes","Python, Java, C++, Git, Docker, Kubernetes",Hubbard-Weaver,Chennai,5+ years,10 LPA- 15 LPA,Contract,IT,18-11-2023,closed,
103,Network Administrator,"Networking, Cisco, Linux, Firewalls, VPNs","Networking, Cisco, Linux, Firewalls, VPNs","Carlson, Lamb and Hayes",Delhi,5+ years,15 LPA- 25 LPA,Freelance,IT,18-11-2023,closed,
104,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Huynh Ltd,Chennai,3-5 years,6 LPA- 10 LPA,Contract,IT,18-11-2023,closed,
105,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Jones Inc,Remote,5+ years,15 LPA- 25 LPA,Freelance,IT,20-11-2023,closed,
106,Game Developer,"C++, Unity, Unreal Engine, Game Physics, 3D Modeling","C++, Unity, Unreal Engine, Game Physics, 3D Modeling","Jones, Hughes and Brandt",Delhi,Fresher,3 LPA- 6 LPA,Freelance,IT,21-11-2023,closed,
107,Network Administrator,"Networking, Cisco, Linux, Firewalls, VPNs","Networking, Cisco, Linux, Firewalls, VPNs","Sexton, Brewer and Perry",Noida,1-3 years,10 LPA- 15 LPA,Full-time,IT,21-11-2023,closed,
108,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js",Gonzalez LLC,Bangalore,5+ years,3 LPA- 6 LPA,Freelance,IT,21-11-2023,closed,
109,Backend Developer,"Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL","Java, Node.js, Python, Spring Boot, MongoDB, PostgreSQL",Perez PLC,Remote,5+ years,10 LPA- 15 LPA,Internship,IT,22-11-2023,closed,
110,Full Stack Developer,"JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","JavaScript, Node.js, React.js, MongoDB, Express.js, Docker","Brady, Parker and Martinez",Noida,3-5 years,15 LPA- 25 LPA,Full-time,IT,22-11-2023,closed,
111,Frontend Developer,"HTML, CSS, JavaScript, React.js, Angular, Vue.js","HTML, CSS, JavaScript, React.js, Angular, Vue.js","Romero, Vaughn and Hill",Hyderabad,1-3 years,6 LPA- 10 LPA,Freelance,IT,23-11-2023,closed,
112,Database Administrator,"MySQL, PostgreSQL, MongoDB, Oracle, SQL","MySQL, PostgreSQL, MongoDB, Oracle, SQL","Navarro, Sanchez and Wright",Chennai,5+ years,15 LPA- 25 LPA,Contract,IT,23-11-2023,closed,
113,AI/ML Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy","Python, TensorFlow, PyTorch, NLP, Computer Vision, NumPy",Shepard-Brown,Remote,3-5 years,15 LPA- 25 LPA,Full-time,IT,23-11-2023,closed,
